airline,code,aircrafts
Boutique Air,4B / BTQ,23
BRA,TF / BRX,34
Bravo Airways,BAY,6
Bristow Helicopters,BHL,121
Bristow US,BTZ,60
Bristow US,L9 / BTZ,60
British Airways,BA / BAW,337
Bromma Air Maintenance,CFL,2
Brussels Airlines,SN / BEL,48
Budapest Aircraft Service,RP / BPS,5
Buddha Air,U4 / BHA,13
Buffalo Airways,BFL,51
Bukovyna Airlines,BKV,2
Bul Air,LB / BVL,6
Bulgaria Air,FB / LZB,9
Bulgarian Air Charter,1T / BUC,15
Buraq Air,UZ / BRQ,4
Business Wings,JMP,4
BVI Airways,XV / BVI,1
Cabo Verde Airlines,VR / TCV,3
Caicos Express Airways,9Q / CXE,1
CAL Cargo Airlines,5C / ICL,3
Calafia Airlines,A7 / CFV,6
Calm Air,MO / CAV,4
Calstar,CMD,22
Camair-Co,QC / CRC,4
Cambodia Airways,KR / KME,5
Cambodia Angkor Air,K6 / KHV,7
Canadian North,5T / MPE,15
CanaryFly,PM / CNF,6
Canlink Aviation,MFC,59
Cape Air,9K / KAP,91
Capital Air Ambulance,EGL,11
Capital Airlines,JD / CBJ,95
Cardig Air,8F / CAD,5
Cargo Air,CGF,10
Cargojet Airways,W8 / CJT,22
CargoLogicAir,P3 / CLU,4
Cargolux,CV / CLX,26
Cargolux Italia,C8 / ICV,4
Caribbean Airlines,BW / BWA,20
Carpatair,V3 / KRP,3
Caspian Airlines,IV / CPN,12
Castle Aviation,CSJ,9
Cathay Dragon,KA / HDA,48
Cathay Pacific,CX / CPA,152
Cavok Air,CVK,9
Cayman Airways,KX / CAY,9
Cebu Pacific,5J / CEB,76
Ceiba Intercontinental,C2 / CEL,7
CemAir,5Z / KEM,17
Central Airlines,CTL,11
Central Mountain Air,9M / GLR,25
Centreline,CLF,10
Chair Airlines,GM / GSW,3
Chalair Aviation,CE / CLG,14
Cham Wings Airlines,6Q / SAW,4
Charter Jets,LTC,5
Chartright Air,HRT,17
CHC Helicopters Australia,HEM,29
CHC Helicopters Netherlands,HNL,10
CHC Helikopter Service,HKS,55
Chengdu Airlines,EU / UEA,54
China Airlines,CI / CAL,93
China Cargo Airlines,CK / CKK,9
China Eastern Airlines,MU / CES,570
China Express Airlines,G5 / HXA,49
China Postal Airlines,CF / CYZ,31
China Southern Airlines,CZ / CSN,655
China United Airlines,KN / CUA,56
China West Air,PN / CHB,35
Chongqing Airlines,OQ / CQN,31
Chrono Aviation,NDL,8
Citilink,QG / CTV,64
Cityjet,WX / BCY,12
Civil Air Patrol,CAP,631
Coastal Aviation,CQ / CSV,9
Cobham Aviation Services,FRA,20
Cobham Flight Inspection,CLB,4
Colorful GuiZhou Airlines,GY / CGZ,10
Comair,MN / CAW,10
Comlux Aruba,CS / CXB,1
Comlux Aviation Malta,MLM,1
Conair,FGD,61
Condor,DE / CFG,55
Connect Linhas Aereas,6C / CNT,2
Contour Aviation,LF / VTE,25
Conviasa,V0 / VCV,17
Copa Airlines,CM / CMP,105
Copenhagen Airtaxi,CAT,5
Corendon Airlines,XC / CAI,28
Corsair,SS / CRL,7
Cristalux,Z7 / AUZ,2
Croatia Airlines,OU / CTN,12
Cronos Airlines,C8 / CRA,4
Cubana,CU / CUB,17
Cygnus Air,RGN,3
Cyprus Airways,CY / CYP,2
Czech Airlines,OK / CSA,13
Daallo Airlines,D3 / DAO,1
Dalian Airlines,CCD,13
Dana Air,9J / DAN,6
Danish Air Transport,DX / DTR,20
DC-Aviation,DCS,24
DEA Aviation,WKT,1
Deer Jet,DF / DER,22
Delta Air Lines,DL / DAL,1422
Delta Private Jets,DPJ,23
DHL,D0 / DHK,146
Directflight,DCT,5
Divi Divi Air,3R / DVR,3
Donghai Airlines,DZ / EPA,28
Dornier Aviation Nigeria Aiep,DO / DAV,4
Druk Air,KB / DRK,4
Dubai Air Wing,DUB,3
Eagle Air Iceland,FEI,5
EagleMed,EMD,17
East Coast Jets,ECJ,3
Eastar Jet,ZE / ESR,28
Eastern Airways,T3 / EZE,13
EasyFly,VE / EFY,23
easyJet,U2 / EZY,338
EcoJet,8J / ECO,4
Edelweiss Air,WK / EDW,16
EgyptAir,MS / MSR,65
EgyptAir Cargo,MSX,5
El Al,LY / ELY,46
Elite Airways,7Q / MNU,13
Ellinair,EL / ELB,5
Embraer,EMB,96
Emirates,EK / UAE,272
Empire Aviation,MJE,10
ENAC Ecole Aviation Civile,NAK,72
Enter Air,E4 / ENT,24
Epsilon Aviation,GRV,3
Eritrean Airlines,B8 / ERT,3
Estafeta Carga Aerea,E7 / ESF,6
Estelar,ES / ETR,7
Ethiopian Airlines,ET / ETH,117
Etihad Airways,EY / ETD,118
Euro-Asia Air,5B / EAK,2
EuroAtlantic Airways,YU / MMZ,8
Eurowings,EW / EWG,143
EVA Air,BR / EVA,83
Evelop Airlines,E9 / EVE,6
Everts Air Alaska,5V / VTS,11
EWA Air,ZD / EWR,2
Execuflight,EFT,2
Executive Flight Services,XSR,54
Executive Jet Charter,EXJ,4
Executive Jet Management,EJM,4
