MSN ,TYPE,REGISTRATION,AIRLINE,FIRSTFLIGHT(AGE)
54,A388,B-6138,China Southern Airlines,Aug 2011 (8 years)
52,A388,F-HPJE,Air France,Aug 2010 (9 years)
51,A388,9V-SKK,Singapore Airlines,Sep 2009 (10 years)
50,A388,VH-OQH,Qantas,Aug 2009 (10 years)
49,A388,F-HPJD,Air France,Feb 2010 (9 years)
48,A388,D-AIMD,Lufthansa,Apr 2010 (9 years)
47,A388,VH-OQG,Qantas,Aug 2009 (10 years)
46,A388,A6-EDL,Emirates,Jan 2010 (10 years)
45,A388,9V-SKJ,Singapore Airlines,Feb 2009 (10 years)
44,A388,D-AIMC,Lufthansa,Feb 2010 (9 years)
43,A388,F-HPJC,Air France,Jul 2009 (10 years)
42,A388,A6-EDM,Emirates,Apr 2010 (9 years)
41,A388,D-AIMB,Lufthansa,Jan 2010 (10 years)
40,A388,F-HPJB,Air France,Jun 2009 (10 years)
39,A388,HL7612,Korean Air,Jan 2011 (9 years)
38,A388,D-AIMA,Lufthansa,Oct 2009 (10 years)
36,A388,B-6137,China Southern Airlines,May 2011 (8 years)
35,A388,HL7611,Korean Air,Nov 2010 (9 years)
34,A388,9V-SKI,Singapore Airlines,Jan 2009 (11 years)
33,A388,F-HPJA,Air France,Feb 2009 (10 years)
31,A388,B-6136,China Southern Airlines,Mar 2011 (8 years)
30,A388,A6-EDK,Emirates,Jan 2010 (10 years)
29,A388,VH-OQF,Qantas,Mar 2009 (10 years)
28,A388,A6-EDI,Emirates,Oct 2009 (10 years)
27,A388,VH-OQE,Qantas,Mar 2009 (10 years)
26,A388,VH-OQD,Qantas,Nov 2008 (11 years)
25,A388,A6-EDH,Emirates,Jul 2009 (10 years)
23,A388,A6-EDG,Emirates,May 2009 (10 years)
22,A388,VH-OQC,Qantas,Aug 2008 (11 years)
21,A388,9V-SKH,Singapore Airlines,Dec 2008 (11 years)
20,A388,A6-EDD,Emirates,Jul 2008 (11 years)
